Тест,Сетка,"Общее время, сек","Подготовка, сек","Построение, сек","Обход, сек",Ячеек,Рёбер,Вершин,Пар для коррекции,ESC,Функция разбиения,Ячеек в листе
1,small_sphere_double,0.18835878372192383,0.002500772476196289,0.016293048858642578,0.16956496238708496,160,240,84,38,False,VAH,5
2,small_sphere_double,0.21625518798828125,0.0011167526245117188,0.02448415756225586,0.19065427780151367,160,240,84,38,False,VAH,1
3,small_sphere_double,0.19250702857971191,0.001074075698852539,0.018127918243408203,0.17330503463745117,160,240,84,38,False,SAH,5
4,small_sphere_double,0.22333145141601562,0.0010688304901123047,0.02717280387878418,0.19508981704711914,160,240,84,38,False,SAH,1
5,small_sphere_double,0.1950390338897705,0.008401870727539062,0.018305063247680664,0.16833209991455078,160,240,84,38,True,VAH,5
6,small_sphere_double,0.2193150520324707,0.006002187728881836,0.0280611515045166,0.18525171279907227,160,240,84,38,True,VAH,1
7,small_sphere_double,0.2595558166503906,0.0060100555419921875,0.021577835083007812,0.23196792602539062,160,240,84,38,True,SAH,5
8,small_sphere_double,0.22672462463378906,0.006052970886230469,0.029704809188842773,0.19096684455871582,160,240,84,38,True,SAH,1
9,sphere_double,9.54302430152893,0.04084587097167969,1.5054242610931396,7.996754169464111,7680,11520,3844,292,False,VAH,5
10,sphere_double,11.44882345199585,0.04136919975280762,2.0205390453338623,9.38691520690918,7680,11520,3844,292,False,VAH,1
11,sphere_double,9.802513122558594,0.1093897819519043,1.7013952732086182,7.991728067398071,7680,11520,3844,292,False,SAH,5
12,sphere_double,11.623582363128662,0.04105114936828613,2.1343700885772705,9.448161125183105,7680,11520,3844,292,False,SAH,1
13,sphere_double,10.07876205444336,0.2693760395050049,1.755415916442871,8.053970098495483,7680,11520,3844,292,True,VAH,5
14,sphere_double,11.803836345672607,0.2691349983215332,2.2332851886749268,9.301416158676147,7680,11520,3844,292,True,VAH,1
15,sphere_double,10.45899748802185,0.26911020278930664,1.9469630718231201,8.242924213409424,7680,11520,3844,292,True,SAH,5
16,sphere_double,12.03573489189148,0.2703378200531006,2.4150400161743164,9.350357055664062,7680,11520,3844,292,True,SAH,1
17,bunny_double,13.488958835601807,0.05567288398742676,2.150956153869629,11.282329797744751,9982,14976,4996,944,False,VAH,5
18,bunny_double,15.844682455062866,0.05355525016784668,2.6181743144989014,13.172952890396118,9982,14976,4996,944,False,VAH,1
19,bunny_double,13.394541025161743,0.13013195991516113,2.324496030807495,10.939913034439087,9982,14976,4996,944,False,SAH,5
20,bunny_double,16.07613778114319,0.05373883247375488,2.9020328521728516,13.120366096496582,9982,14976,4996,944,False,SAH,1
21,bunny_double,14.509554386138916,0.38377976417541504,2.43241286277771,11.693361759185791,9982,14976,4996,944,True,VAH,5
22,bunny_double,16.804538249969482,0.38523221015930176,3.036471128463745,13.382834911346436,9982,14976,4996,944,True,VAH,1
23,bunny_double,14.772839784622192,0.38007688522338867,2.7380430698394775,11.654719829559326,9982,14976,4996,944,True,SAH,5
24,bunny_double,16.89767622947693,0.4435913562774658,3.349364995956421,13.104719877243042,9982,14976,4996,944,True,SAH,1
